Logging
iteration 12050 | D LOSS = 1.3781 | G LOSS = 0.7007 | mean_pen: 0.0001 |  
iteration 12100 | D LOSS = 1.3809 | G LOSS = 0.7002 | mean_pen: 0.0001 |  
iteration 12150 | D LOSS = 1.3793 | G LOSS = 0.7002 | mean_pen: 0.0001 |  
iteration 12200 | D LOSS = 1.3804 | G LOSS = 0.6993 | mean_pen: 0.0001 |  
iteration 12250 | D LOSS = 1.3801 | G LOSS = 0.7012 | mean_pen: 0.0001 |  
iteration 12300 | D LOSS = 1.3788 | G LOSS = 0.6999 | mean_pen: 0.0001 |  
iteration 12350 | D LOSS = 1.3813 | G LOSS = 0.6973 | mean_pen: 0.0001 |  
iteration 12400 | D LOSS = 1.3792 | G LOSS = 0.6999 | mean_pen: 0.0001 |  
iteration 12450 | D LOSS = 1.3801 | G LOSS = 0.7022 | mean_pen: 0.0001 |  
iteration 12500 | D LOSS = 1.3795 | G LOSS = 0.6967 | mean_pen: 0.0001 |  
iteration 12550 | D LOSS = 1.3804 | G LOSS = 0.6996 | mean_pen: 0.0001 |  
iteration 12600 | D LOSS = 1.3781 | G LOSS = 0.6995 | mean_pen: 0.0001 |  
iteration 12650 | D LOSS = 1.3797 | G LOSS = 0.7008 | mean_pen: 0.0001 |  
iteration 12700 | D LOSS = 1.3809 | G LOSS = 0.7012 | mean_pen: 0.0001 |  
iteration 12750 | D LOSS = 1.3793 | G LOSS = 0.6989 | mean_pen: 0.0001 |  
iteration 12800 | D LOSS = 1.3795 | G LOSS = 0.6959 | mean_pen: 0.0001 |  
iteration 12850 | D LOSS = 1.3794 | G LOSS = 0.6961 | mean_pen: 0.0001 |  
iteration 12900 | D LOSS = 1.3803 | G LOSS = 0.7009 | mean_pen: 0.0001 |  
iteration 12950 | D LOSS = 1.3806 | G LOSS = 0.6999 | mean_pen: 0.0001 |  
iteration 13000 | D LOSS = 1.3796 | G LOSS = 0.7034 | mean_pen: 0.0001 |  
iteration 13050 | D LOSS = 1.3797 | G LOSS = 0.7016 | mean_pen: 0.0001 |  
iteration 13100 | D LOSS = 1.3795 | G LOSS = 0.6999 | mean_pen: 0.0001 |  
iteration 13150 | D LOSS = 1.3818 | G LOSS = 0.6961 | mean_pen: 0.0001 |  
iteration 13200 | D LOSS = 1.3798 | G LOSS = 0.6987 | mean_pen: 0.0001 |  
iteration 13250 | D LOSS = 1.3785 | G LOSS = 0.6994 | mean_pen: 0.0001 |  
iteration 13300 | D LOSS = 1.3812 | G LOSS = 0.6981 | mean_pen: 0.0001 |  
iteration 13350 | D LOSS = 1.3800 | G LOSS = 0.7003 | mean_pen: 0.0001 |  
iteration 13400 | D LOSS = 1.3798 | G LOSS = 0.6987 | mean_pen: 0.0001 |  
iteration 13450 | D LOSS = 1.3814 | G LOSS = 0.6992 | mean_pen: 0.0001 |  
iteration 13500 | D LOSS = 1.3808 | G LOSS = 0.7014 | mean_pen: 0.0001 |  
iteration 13550 | D LOSS = 1.3809 | G LOSS = 0.7005 | mean_pen: 0.0001 |  
iteration 13600 | D LOSS = 1.3802 | G LOSS = 0.7011 | mean_pen: 0.0001 |  
iteration 13650 | D LOSS = 1.3804 | G LOSS = 0.7017 | mean_pen: 0.0001 |  
iteration 13700 | D LOSS = 1.3795 | G LOSS = 0.6963 | mean_pen: 0.0001 |  
iteration 13750 | D LOSS = 1.3808 | G LOSS = 0.6968 | mean_pen: 0.0001 |  
iteration 13800 | D LOSS = 1.3811 | G LOSS = 0.6994 | mean_pen: 0.0001 |  
iteration 13850 | D LOSS = 1.3788 | G LOSS = 0.6969 | mean_pen: 0.0001 |  
iteration 13900 | D LOSS = 1.3784 | G LOSS = 0.7018 | mean_pen: 0.0001 |  
iteration 13950 | D LOSS = 1.3799 | G LOSS = 0.6994 | mean_pen: 0.0001 |  
iteration 14000 | D LOSS = 1.3810 | G LOSS = 0.6968 | mean_pen: 0.0001 |  
iteration 14050 | D LOSS = 1.3800 | G LOSS = 0.6964 | mean_pen: 0.0001 |  
iteration 14100 | D LOSS = 1.3796 | G LOSS = 0.6999 | mean_pen: 0.0000 |  
iteration 14150 | D LOSS = 1.3796 | G LOSS = 0.6952 | mean_pen: 0.0001 |  
iteration 14200 | D LOSS = 1.3809 | G LOSS = 0.7004 | mean_pen: 0.0001 |  
